Owner,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Common Name or Certificate Name,SHA-1 Fingerprint,Valid From [GMT],Valid To [GMT],Signing Key Parameters,Signature Algorithm,Trust Bits,EV Policy OID(s),Approval Bug,NSS Release When First Included,Firefox Release When First Included,URL to Test Website or Example Cert,Mozilla Applied Constraints,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Standard Audit,BR Audit,EV Audit,Auditor,Standard Audit Type,Standard Audit Statement Dt,Comments
Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Public CA Root,2A:B6:28:48:5E:78:FB:F3:AD:9E:79:10:DD:6B:DF:99:72:2C:96:E5,2000 May 30,2020 May 30,2048,SHA-1,Code; Email; Websites,Not EV,legacy,,Firefox 1,https://addtrustpubliccaroot.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Qualified CA Root,4D:23:78:EC:91:95:39:B5:00:7F:75:8F:03:3B:21:1E:C5:4D:8B:CF,2000 May 30,2020 May 30,2048,SHA-1,Code; Email; Websites,Not EV,legacy,,Firefox 1,https://addtrustqualifiedcaroot.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,AddTrust AB,AddTrust External TTP Network,USERTrust Legacy Secure Server CA,7C:2F:91:E2:BB:96:68:A9:C6:F6:BD:10:19:2C:6B:52:5A:1B:BA:48,2014 Aug 05,2015 Nov 01,2048,SHA-1,,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=1045189#c7,NSS 3.16.4,Firefox 32,No longer issuing SSL certs.,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,This cross-signed intermediate certificate was included to help with the migration off of 1024-bit roots.
Trend Micro,AffirmTrust,,AffirmTrust Commercial,F9:B5:B6:32:45:5F:9C:BE:EC:57:5F:80:DC:E9:6E:2C:C7:B2:78:B7,2010 Jan 29,2030 Dec 31,2048,SHA-256,Websites,1.3.6.1.4.1.34697.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://commercial.affirmtrust.com/,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,
Trend Micro,AffirmTrust,,AffirmTrust Networking,29:36:21:02:8B:20:ED:02:F5:66:C5:32:D1:D6:ED:90:9F:45:00:2F,2010 Jan 29,2030 Dec 31,2048,SHA-1,Websites,1.3.6.1.4.1.34697.2.2,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://networking.affirmtrust.com:4431,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,
Trend Micro,AffirmTrust,,AffirmTrust Premium,D8:A6:33:2C:E0:03:6F:B1:85:F6:63:4F:7D:6A:06:65:26:32:28:27,2010 Jan 29,2040 Dec 31,4096,SHA-384,Websites,1.3.6.1.4.1.34697.2.3,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://premium.affirmtrust.com:4432/,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,
Trend Micro,AffirmTrust,,AffirmTrust Premium ECC,B8:23:6B:00:2F:1D:16:86:53:01:55:6C:11:A4:37:CA:EB:FF:C3:BB,2010 Jan 29,2040 Dec 31,ECC,ECC,Websites,1.3.6.1.4.1.34697.2.4,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://premiumecc.affirmtrust.com:4433/,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,
"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)",Agencia Catalana de Certificacio (NIF Q-0801176-I),Jerarquia Entitats de Certificacio Catalanes,EC-ACC,28:90:3A:63:5B:52:80:FA:E6:77:4C:0B:6D:A7:D6:BA:A6:4A:F2:E8,2003 Jan 07,2031 Jan 07,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=295474,NSS 3.13.2,Firefox 11,https://www.aoc.cat/,,http://www.aoc.cat/Inici/SERVEIS/Signatura-electronica-i-seguretat/CATCert,http://www.aoc.cat/content/download/25607/46726/file/politicaGeneralCertificacioAngles.pdf,http://www.aoc.cat/Inici/SERVEIS/Signatura-electronica-i-seguretat/CATCert/Regulacio,https://cert.webtrust.org/SealFile?seal=1647&file=pdf,NONE!,,Ernst & Young,WebTrust,2014.03.10,
AS Sertifitseerimiskeskuse (SK),AS Sertifitseerimiskeskus,,EE Certification Centre Root CA,C9:A8:B9:E7:55:80:5E:58:E3:53:77:A7:25:EB:AF:C3:7B:27:CC:D7,2010 Oct 30,2030 Dec 17,2048,SHA-1,Code; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=624356,NSS 3.14,Firefox 18,https://www.openxades.org/docportal/,,http://www.sk.ee/,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/audit/,http://www.sk.ee/en/repository/audit/,,KPMG,ETSI TS 102 042,2015.01.30,
AS Sertifitseerimiskeskuse (SK),AS Sertifitseerimiskeskus,,Juur-SK,40:9D:4B:D9:17:B5:5C:27:B6:9B:64:CB:98:22:44:0D:CD:09:B8:89,2001 Aug 30,2016 Aug 26,2048,SHA-1,Code; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=414520,NSS 3.12.6,Firefox 3.6.2,https://www.sk.ee,,http://www.sk.ee/,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/audit/,http://www.sk.ee/en/repository/audit/,,KPMG,ETSI TS 102 042,2015.01.30,
Atos,Atos,,Atos TrustedRoot 2011,2B:B1:F5:3E:55:0C:1D:C5:F1:D4:E6:B7:6A:46:4B:55:06:02:AC:21,2011 Jul 07,2030 Dec 31,2048,SHA-256,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=711366,NSS 3.16,Firefox 29,https://pki.atos.net:7081/,,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/Download/AtosTrustedCACPSv1.7.pdf,https://www.mydqs.com/kunden/kundendatenbank.html?aoemydqs%5Bcompany_no%5D=334220&aoemydqs%5Baction%5D=singleView&cHash=c086db2a2cd03a17407d1f2712ab2dd4,https://www.mydqs.com/kunden/kundendatenbank.html?aoemydqs%5Bcompany_no%5D=334220&aoemydqs%5Baction%5D=singleView&cHash=c086db2a2cd03a17407d1f2712ab2dd4,,DQS GmbH,ETSI TS 102 042,2014.07.29,
Autoridad de Certificacion Firmaprofesional,Autoridad de Certificacion Firmaprofesional,,Autoridad de Certificacion Firmaprofesional CIF A62634068,AE:C5:FB:3F:C8:E1:BF:C4:E5:4F:03:07:5A:9A:E8:00:B7:F7:B6:FA,2009 May 20,2030 Dec 31,4096,SHA-1,Code; Email; Websites,1.3.6.1.4.1.13177.10.1.3.10,https://bugzilla.mozilla.org/show_bug.cgi?id=521439,NSS 3.12.9,Firefox 4.0,https://publifirma.firmaprofesional.com/,,http://www.firmaprofesional.com/,http://www.firmaprofesional.com/cps,http://www.firmaprofesional.com/cps,https://cert.webtrust.org/SealFile?seal=1846&file=pdf,NONE!,https://cert.webtrust.org/SealFile?seal=1847&file=pdf,Auren,WebTrust,2015.03.11,
Verizon Business,Baltimore,CyberTrust,Baltimore CyberTrust Root,D4:DE:20:D0:5E:66:FC:53:FE:1A:50:88:2C:78:DB:28:52:CA:E4:74,2000 May 12,2025 May 12,2048,SHA-1,Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=430698,,Firefox 1,https://baltimore.omniroot.com,,http://www.verizon.com/ssl,http://cybertrust.omniroot.com/repository,http://cybertrust.omniroot.com/repository,https://cert.webtrust.org/SealFile?seal=1798&file=pdf,NONE!,,Ernst & Young,WebTrust,2014.12.15,"Verizon has internal BR audit statements for 2013 and 2014, but cannot share publicly. They expect 2015 audit statements to include a public-facing BR seal."
Buypass,Buypass AS-983163327,,Buypass Class 2 CA 1,A0:A1:AB:90:C9:FC:84:7B:3B:12:61:E8:97:7D:5F:D3:22:61:D3:CC,2006 Oct 13,2016 Oct 13,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=477028,NSS 3.12.5,Firefox 3.6,https://valid.domainplus.ca12.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,,BSI,ETSI TS 102 042,2015.02.25,
Buypass,Buypass AS-983163327,,Buypass Class 2 Root CA,49:0A:75:74:DE:87:0A:47:FE:58:EE:F6:C7:6B:EB:C6:0B:12:40:99,2010 Oct 26,2040 Oct 26,4096,SHA-256,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=685128,NSS 3.13.6,Firefox 16,https://valid.domainplus.ca22.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,,BSI,ETSI TS 102 042,2015.02.25,
Buypass,Buypass AS-983163327,,Buypass Class 3 CA 1,61:57:3A:11:DF:0E:D8:7E:D5:92:65:22:EA:D0:56:D7:44:B3:23:71,2005 May 09,2015 May 09,2048,SHA-1,Websites,2.16.578.1.26.1.3.3,https://bugzilla.mozilla.org/show_bug.cgi?id=477028,NSS 3.12.5,Firefox 3.6,https://valid.evident.ca13.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,BSI,ETSI TS 102 042,2015.02.25,"PTC-BR stands for Publicly Trusted Certificates – Baseline Requirements. It is one of the “policies” within the ETSI TS 102042 v2.4.1 standard and means that BRG is included in the audit. Same applies to “EV-CP” (EV-certificates). ... ETSI standard, page 13"
Buypass,Buypass AS-983163327,,Buypass Class 3 Root CA,DA:FA:F7:FA:66:84:EC:06:8F:14:50:BD:C7:C2:81:A5:BC:A9:64:57,2010 Oct 26,2040 Oct 26,4096,SHA-256,Websites,2.16.578.1.26.1.3.3,https://bugzilla.mozilla.org/show_bug.cgi?id=685128,NSS 3.13.6,Firefox 16,https://valid.evident.ca23.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,BSI,ETSI TS 102 042,2015.02.25,
Certinomis,Certinomis,0002 433998903,Certinomis - Autorité Racine,2E:14:DA:EC:28:F0:FA:1E:8E:38:9A:4E:AB:EB:26:C0:0A:D3:83:C3,2008 Sep 17,2028 Sep 17,4096,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=545614,NSS 3.12.11,Firefox 6.0.2,https://w3-test.certinomis.com,,http://www.certinomis.com,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=8451590,,LSTI,ETSI TS 102 042,2014.06.30,PTC-BR = BR audit criteria
OpenTrust / KEYNECTIS,Certplus,,Class 2 Primary CA,74:20:74:41:72:9C:DD:92:EC:79:31:D8:23:10:8D:C2:81:92:E2:BB,1999 Jul 07,2019 Jul 06,2048,SHA-1,Email; Websites,1.3.6.1.4.1.22234.2.5.2.3.1,https://bugzilla.mozilla.org/show_bug.cgi?id=335392,NSS 3.11.8,Firefox 2,https://www.keynectis.com/en/,,http://www.opentrust.com/en/,http://www.opentrust.com/en/certification-policy,http://www.opentrust.com/en/certification-policy,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,https://bug1025095.bugzilla.mozilla.org/attachment.cgi?id=8590352,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,LSTI,ETSI TS 102 042,2015.04.09,
certSIGN,certSIGN,certSIGN ROOT CA,certSIGN ROOT CA,FA:B7:EE:36:97:26:62:FB:2D:B0:2A:F6:BF:03:FD:E8:7C:4B:2F:9B,2006 Jul 04,2031 Jul 04,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=470756,NSS 3.12.5,Firefox 3.6,https://www.certsign.ro,,http://www.certsign.ro/certsign_en/,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,https://bug470756.bugzilla.mozilla.org/attachment.cgi?id=8598757,https://bug470756.bugzilla.mozilla.org/attachment.cgi?id=8598757,,Ernst & Young,WebTrust,2015.04.10,
China Financial Certification Authority (CFCA),China Financial Certification Authority,,CFCA EV ROOT,E2:B8:29:4B:55:84:AB:6B:58:C2:90:46:6C:AC:3F:B8:39:8F:84:83,2012 Aug 08,2029 Dec 31,4096,SHA-256,Websites,2.16.156.112554.3,https://bugzilla.mozilla.org/show_bug.cgi?id=926029,NSS 3.18,Firefox 38,https://pub.cebnet.com.cn,None,http://www.cfca.com.cn/,http://www.cfca.com.cn/us/us-12.htm,https://bugzilla.mozilla.org/attachment.cgi?id=8545612,https://cert.webtrust.org/SealFile?seal=1788&file=pdf,https://cert.webtrust.org/SealFile?seal=1787&file=pdf,https://cert.webtrust.org/SealFile?seal=1786&file=pdf,PricewaterhouseCoopers,WebTrust,2014.12.05,
China Internet Network Information Center (CNNIC),China Internet Network Information Center,,China Internet Network Information Center EV Certificates Root,4F:99:AA:93:FB:2B:D1:37:26:A1:99:4A:CE:7F:F0:05:F2:93:5D:1E,2010 Aug 31,2030 Aug 31,2048,SHA-1,Websites,1.3.6.1.4.1.29836.1.10,https://bugzilla.mozilla.org/show_bug.cgi?id=607208,NSS 3.15,Firefox 23,https://evdemo.cnnic.cn/,,http://www1.cnnic.cn/index.htm,http://www.cnnic.cn/cps/,http://www.cnnic.cn/cps/,https://cert.webtrust.org/SealFile?seal=1731&file=pdf,http://www.cnnic.cn/jczyfw/fwqzs/fwqzsrzjzz/,https://cert.webtrust.org/SealFile?seal=1730&file=pdf,Ernst & Young,WebTrust,2014.08.01,
Chunghwa Telecom Corporation,"Chunghwa Telecom Co., Ltd.",ePKI Root Certification Authority,ePKI Root Certification Authority,67:65:0D:F1:7E:8E:7E:5B:82:40:A4:F4:56:4B:CF:E2:3D:69:C6:F0,2004 Dec 20,2034 Dec 20,4096,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=448794,NSS 3.12.5,Firefox 3.6,https://publicca.hinet.net/,,http://www.cht.com.tw,http://epki.com.tw/repository_en.htm,http://epki.com.tw/repository_en.htm,https://cert.webtrust.org/SealFile?seal=1775&file=pdf,https://cert.webtrust.org/SealFile?seal=1776&file=pdf,,DFK,WebTrust,2014.11.26,
China Internet Network Information Center (CNNIC),CNNIC,,CNNIC ROOT,8B:AF:4C:9B:1D:F0:2A:92:F7:DA:12:8E:B9:1B:AC:F4:98:60:4B:6F,2007 Apr 16,2027 Apr 16,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=476766,NSS 3.12.6,Firefox 3.6.2,https://mail.cnnic.cn/,,http://www1.cnnic.cn/index.htm,http://www.cnnic.cn/cps/,http://www.cnnic.cn/cps/,https://cert.webtrust.org/SealFile?seal=1731&file=pdf,http://www.cnnic.cn/jczyfw/fwqzs/fwqzsrzjzz/,,Ernst & Young,WebTrust,2014.08.01,
Comodo,Comodo CA Limited,,AAA Certificate Services,D1:EB:23:A4:6D:17:D6:8F:D9:25:64:C2:F1:F1:60:17:64:D8:E3:49,2004 Jan 01,2028 Dec 31,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=249710,,Firefox 1,https://aaacertificateservices.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,COMODO CA Limited,,COMODO Certification Authority,66:31:BF:9E:F7:4F:9E:B6:C9:D5:A6:0C:BA:6A:BE:D1:F7:BD:EF:7B,2006 Dec 01,2029 Dec 31,2048,SHA-1,Code; Email; Websites,1.3.6.1.4.1.6449.1.2.1.5.1,https://bugzilla.mozilla.org/show_bug.cgi?id=401587,NSS 3.11.10,Firefox 3.0.2,https://comodocertificationauthority-ev.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
